,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Joseba Etxeberria,/en/players/756aa908/Joseba-Etxeberria,756aa908,Joseba-Etxeberri,es ESP,"FW,MF"
1,Ismael Urzaiz,/en/players/3ceb9882/Ismael-Urzaiz,3ceb9882,Ismael-Urzaiz,es ESP,FW
2,Javi González,/en/players/b1e9277c/Javi-Gonzalez,b1e9277c,Javi-Gonzalez,es ESP,MF
3,Bittor Alkiza,/en/players/bfebd236/Bittor-Alkiza,bfebd236,Bittor-Alkiz,es ESP,MF
4,Santiago Ezquerro,/en/players/c836203d/Santiago-Ezquerro,c836203d,Santiago-Ezquerro,es ESP,FW
5,Carlos Gurpegui,/en/players/6920be59/Carlos-Gurpegui,6920be59,Carlos-Gurpegui,es ESP,"DF,MF"
6,Daniel Aranzubia,/en/players/0e9ce3e0/Daniel-Aranzubia,0e9ce3e0,Daniel-Aranzubi,es ESP,GK
7,Asier del Horno,/en/players/eb525f4a/Asier-del-Horno,b525f4a,Asier-del-Horno,es ESP,DF
8,Jesús María Lacruz,/en/players/ee381989/Jesus-Maria-Lacruz,381989,Jesus-Maria-Lacruz,es ESP,DF
9,Francisco Yeste,/en/players/8b3e6045/Francisco-Yeste,8b3e6045,Francisco-Yest,es ESP,MF
10,Aitor Karanka,/en/players/f3bf77fc/Aitor-Karanka,f3bf77fc,Aitor-Karank,es ESP,DF
11,Tiko,/en/players/88a00d5d/Tiko,88a00d5d,Tiko,es ESP,MF
12,Óscar Vales,/en/players/f8ef72c8/Oscar-Vales,f8ef72c8,Oscar-V,es ESP,DF
13,Aitor Larrazábal,/en/players/d84bc12f/Aitor-Larrazabal,d84bc12f,Aitor-Larrazab,es ESP,DF
14,Luis Prieto Zalbidegoitia,/en/players/8ae9541e/Luis-Prieto-Zalbidegoitia,8ae9541e,Luis-Prieto-Zalbidegoiti,es ESP,DF
15,Ander Murillo,/en/players/878aa987/Ander-Murillo,878aa987,Ander-Murillo,es ESP,DF
16,Joseba Arriaga,/en/players/5819e0da/Joseba-Arriaga,5819e0da,Joseba-Arriag,es ESP,FW
17,Iñaki Lafuente,/en/players/a1757556/Inaki-Lafuente,1757556,Inaki-Lafuent,es ESP,GK
18,Aitor Ocio,/en/players/f1c8639b/Aitor-Ocio,f1c8639b,Aitor-Ocio,es ESP,DF
19,César Caneda,/en/players/1013adcf/Cesar-Caneda,1013adcf,Cesar-Caned,es ESP,DF
20,Julen Guerrero,/en/players/8cb2c693/Julen-Guerrero,8cb2c693,Julen-Guerrero,es ESP,"FW,MF"
21,Iñigo Larrainzar,/en/players/4c7b1e6c/Inigo-Larrainzar,4c7b1e6c,Inigo-Larrainz,es ESP,DF
22,Pablo Orbaiz,/en/players/3654d355/Pablo-Orbaiz,3654d355,Pablo-Orbaiz,es ESP,MF
23,Aritz Aduriz,/en/players/293211e1/Aritz-Aduriz,293211e1,Aritz-Aduriz,es ESP,FW
24,Felipe Guréndez,/en/players/4f4973c3/Felipe-Gurendez,4f4973c3,Felipe-Gurendez,es ESP,MF
25,Carlos García,/en/players/4227b136/Carlos-Garcia,4227b136,Carlos-Garci,es ESP,"DF,MF"
