,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿López Rekarte,/en/players/346b3104/Lopez-Rekarte,346b3104,Lopez-Rekart,es ESP,DF
1,Sander Westerveld,/en/players/dc8d38a2/Sander-Westerveld,dc8d38a2,Sander-Westerveld,nl NED,GK
2,Valeri Karpin,/en/players/c88a6bc0/Valeri-Karpin,c88a6bc0,Valeri-Karpi,ru RUS,MF
3,Igor Jauregi,/en/players/1f011af5/Igor-Jauregi,1f011af5,Igor-Jauregi,es ESP,"DF,MF"
4,Darko Kovačević,/en/players/12c6ec44/Darko-Kovacevic,12c6ec44,Darko-Kovacevic,rs SRB,FW
5,Nihat Kahveci,/en/players/41e774bd/Nihat-Kahveci,41e774bd,Nihat-Kahveci,tr TUR,FW
6,Xabi Alonso,/en/players/dc001a06/Xabi-Alonso,dc001a06,Xabi-Alonso,es ESP,MF
7,Agustín Aranzábal,/en/players/ee65d657/Agustin-Aranzabal,65d657,Agustin-Aranzab,es ESP,DF
8,Mikel Aranburu,/en/players/9452d85a/Mikel-Aranburu,9452d85a,Mikel-Aranburu,es ESP,MF
9,Javier de Pedro,/en/players/0023e354/Javier-de-Pedro,0023e354,Javier-de-Pedro,es ESP,MF
10,Gabriel Schürrer,/en/players/ae350391/Gabriel-Schurrer,350391,Gabriel-Schu,ar ARG,DF
11,Bjørn Tore Kvarme,/en/players/07965324/Bjorn-Tore-Kvarme,07965324,Bjorn-Tore-Kvarm,no NOR,DF
12,Boris,/en/players/6f531b7d/Boris,6f531b7d,Bori,es ESP,DF
13,Igor Gabilondo,/en/players/4ce0dff0/Igor-Gabilondo,4ce0dff0,Igor-Gabilondo,es ESP,MF
14,Tayfun Korkut,/en/players/8fafc61c/Tayfun-Korkut,8fafc61c,Tayfun-Korkut,tr TUR,"DF,MF"
15,Dmitri Khokhlov,/en/players/1168dd23/Dmitri-Khokhlov,1168dd23,Dmitri-Khokhlov,ru RUS,MF
16,José Barkero,/en/players/89a1b23c/Jose-Barkero,89a1b23c,Jose-Barkero,es ESP,MF
17,Mikel Alonso,/en/players/eab32eb2/Mikel-Alonso,b32eb2,Mikel-Alonso,es ESP,MF
18,Zuhaitz Gurrutxaga,/en/players/b366fa6e/Zuhaitz-Gurrutxaga,b366fa6e,Zuhaitz-Gurrutxag,es ESP,DF
19,Alberto,/en/players/9335367b/Alberto,9335367b,Alberto,es ESP,GK
20,Óscar de Paula,/en/players/4b7217c8/Oscar-de-Paula,4b7217c8,Oscar-de-Pau,es ESP,FW
21,Joseba Llorente,/en/players/ddb98947/Joseba-Llorente,ddb98947,Joseba-Llorent,es ESP,FW
23,Bittor Alkiza,/en/players/bfebd236/Bittor-Alkiza,bfebd236,Bittor-Alkiz,es ESP,MF
24,Lionel Potillon,/en/players/be54ffd6/Lionel-Potillon,be54ffd6,Lionel-Potillo,fr FRA,DF
25,Lee Chun-soo,/en/players/e956c973/Lee-Chun-soo,956c973,Lee-Chun-soo,kr KOR,"FW,MF"
